BGGId,Name,Year,Weight,AvgRating,MinPlayers,MaxPlayers,NumRatings,Kickstarted,Rank,Category
159515,Operation F.A.U.S.T.,2015,1.85,6.13085,3,8,329,1,7649,Thematic
159517,Get Bit! Collectors Edition,2014,1.0,6.41293,2,6,147,1,21926,Thematic
159525,Apocalypse Universe: Galactic Arena,2014,1.3333,6.19107,2,6,56,1,18076,Thematic
159536,Hungry as a Bear,2014,1.0,5.56673,1,3,107,0,17301,Childrens
159566,Unicorn Glitterluck: Cloud Crystals,2014,1.0455,5.96574,2,4,542,0,7768,Childrens
159570,SOS: Sheep in Trouble,2014,1.0,5.94643,2,4,42,0,16169,Childrens
159573,Taxi Wildlife,2014,1.0,6.01086,2,4,58,0,14823,Thematic
159575,Dracula's Feast,2017,1.4,6.87989,4,8,434,0,4243,Thematic
159581,Maskmen,2014,1.5714,6.65151,2,6,781,0,3356,Thematic
159632,Strife: Legacy of the Eternals,2014,2.4667,6.78098,2,2,529,1,3863,Strategy
159633,Start Player Express,2014,1.1429,6.46682,2,99,107,1,9733,Thematic
159675,Fields of Arle,2014,3.8755,8.08523,1,2,8945,1,66,Strategy
159685,Deal: American Dream,2015,2.6667,6.48197,3,6,76,1,13310,Strategy
159692,Comanchería: The Rise and Fall of the Comanche Empire,2016,4.1392,8.0188,1,1,588,0,2001,War
159774,Rycerze i Zamki,2014,1.5,5.55196,2,4,56,0,17647,Thematic
159858,Speakeasy,2015,3.0,6.3125,10,30,32,1,17492,Thematic
159865,Tark Mees Taskus,2014,1.0,5.98333,1,10,90,0,14265,Thematic
159868,Sellswords,2014,1.9048,6.5491,2,2,623,0,4042,Thematic
159877,Hat-Trick,2014,2.7273,6.93989,2,2,95,0,9365,Thematic
159908,Wilki i Owce (zawiera dodatek Grube Ryby),2014,1.0,6.40755,2,4,53,0,21926,Thematic
159910,The King of Frontier,2013,2.0714,6.86639,2,4,227,0,5562,Thematic
160010,Conan,2016,2.7748,7.68846,2,5,4127,1,512,Thematic
160012,In a Bind,2015,1.0,7.09358,3,12,222,1,5698,Thematic
160018,Smash Up: Monster Smash,2014,2.2857,7.29895,2,2,3004,0,888,Strategy
160044,"Warhammer 40,000 (Seventh Edition)",2014,4.1538,6.93158,2,12,278,0,5251,War
160067,The Worst Game Ever,2014,1.1429,5.42941,2,8,170,1,19239,Thematic
160069,Ticket to Ride: 10th Anniversary,2014,1.9028,8.26971,2,5,5174,0,21926,Thematic
160081,Dungeon Saga: Dwarf King's Quest,2015,2.4889,7.23863,2,5,1050,1,2271,Thematic
160094,Каркассон: Королевский Подарок,2013,1.7778,7.89645,2,6,203,0,21926,Thematic
160125,Gods' Gambit,2014,1.5833,6.25893,2,6,168,1,8959,Thematic
160234,1750: Britain vs. France,2017,2.1429,6.7822,2,2,118,1,8799,War
160273,Virus the Card Game,2014,1.0,4.77778,2,4,36,1,19832,Thematic
160353,LUGU,2014,1.3333,6.44186,3,6,43,1,15029,Thematic
160396,Arcadia,2015,2.0,5.82275,2,4,280,0,10956,Thematic
160406,Khrysos Hunters,2014,2.0,5.61429,2,4,42,0,18197,Thematic
160409,Too Many Cinderellas,2014,1.3,6.36777,2,4,574,0,4708,Thematic
160413,Shadow of the Elder Gods,2015,2.1429,5.55523,1,4,109,1,17942,Thematic
160418,Wing Leader: Victories 1940-1942,2015,3.125,7.93638,2,2,416,0,2807,War
160419,Long Live the Queen,2014,1.75,6.43638,2,2,421,0,5185,Thematic
160420,Catalogue,2014,1.0,6.23382,2,8,34,0,15747,Thematic
160432,Ars Alchimia,2014,2.3333,6.69083,2,4,352,0,4930,Thematic
160434,Robin,2014,1.2609,5.86387,2,6,298,0,10221,Family
160436,Lost Legacy: Binbo Tantei to Inbo no Shiro,2014,1.375,7.17514,2,8,109,0,7316,Thematic
160441,Set Dice,2014,2.0,5.53309,1,6,68,0,21926,Thematic
160470,Ice Cream Combo,2014,1.0,6.325,2,6,40,0,14370,Thematic
160477,Onitama,2014,1.6909,7.38865,2,2,16944,0,262,Abstract
160488,Faras,2014,1.6667,5.75636,2,5,55,0,16548,Thematic
160494,"War in the Wind: The Battle of Attu Island, 1943",2016,2.875,6.89543,2,2,46,0,12907,War
160495,ZhanGuo,2014,3.8304,7.57869,2,4,2976,0,586,Strategy
160499,King of New York,2014,1.8584,6.94187,2,6,14848,0,668,Family
160517,The Possession,2014,2.0,6.13098,3,5,112,0,11873,Thematic
160524,Soccer Blast Pro Soccer Game,2014,2.375,8.16256,1,2,78,0,7564,Thematic
160537,Code Monkey Island,2014,1.5,5.54375,2,4,32,1,17827,Thematic
